track_name,artist_name,release_date,length,popularity,artist_pop,artist_genres,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,sadness,joy,love,anger,fear,surprise,LABEL_0,LABEL_1,LABEL_2,NEGATIVE,POSITIVE
All My Life,Lil Durk,2023-05-12,223878,91,87,"['chicago drill', 'chicago rap', 'drill', 'hip hop', 'rap', 'trap']",0.15,0.829,0.436,0.0,0.0954,-8.205,0.327,143.031,0.693,0.06657307595014572,0.004235005937516689,0.0013936496106907725,0.8922825455665588,0.03480212017893791,0.0007135210325941443,0.3750592768192291,0.5792836546897888,0.045657094568014145,0.9948493838310242,0.0051505896262824535
Popular,The Weeknd,2023-06-02,215466,88,95,"['canadian contemporary r&b', 'canadian pop', 'pop']",0.0652,0.852,0.675,3.74e-05,0.36,-6.271,0.197,99.012,0.83,0.002529611811041832,0.9634435772895813,0.0013341200537979603,0.0022271317429840565,0.0024020024575293064,0.02806360088288784,0.2348230630159378,0.6602885127067566,0.10488838702440262,0.9933180809020996,0.006681904196739197
Dance The Night,Dua Lipa,2023-05-25,176579,91,87,"['dance pop', 'pop', 'uk pop']",0.0207,0.671,0.845,0.0,0.329,-4.93,0.048,110.056,0.775,0.00036933342926204205,0.9983256459236145,0.0006554666324518621,0.00022278873075265437,0.00023697083815932274,0.00018985873612109572,0.13942332565784454,0.7218703031539917,0.13870631158351898,0.07464379817247391,0.9253562688827515
Calm Down,Rema,2022-08-25,239317,95,81,"['afrobeats', 'nigerian pop']",0.382,0.801,0.806,0.000669,0.114,-5.206,0.0381,106.999,0.802,0.02384352684020996,0.1369161754846573,0.008104645647108555,0.027712170034646988,0.8012126088142395,0.0022109111305326223,0.06336516886949539,0.7460333704948425,0.19060148298740387,0.9881877303123474,0.011812303215265274
Flowers,Miley Cyrus,2023-01-13,200454,97,87,['pop'],0.0632,0.707,0.681,5.15e-06,0.0322,-4.325,0.0668,117.999,0.646,0.2423524558544159,0.6669861078262329,0.013539276085793972,0.060286231338977814,0.012072939425706863,0.004763050936162472,0.045139193534851074,0.36347469687461853,0.591386079788208,0.9934744238853455,0.006525552365928888
Kill Bill,SZA,2022-12-08,153946,94,89,"['pop', 'r&b', 'rap']",0.0521,0.644,0.735,0.144,0.161,-5.747,0.0391,88.98,0.418,0.9595752954483032,0.025435296818614006,0.002134341513738036,0.009313476271927357,0.0028564236126840115,0.0006852991646155715,0.2279117852449417,0.5905337929725647,0.18155446648597717,0.11926604062318802,0.8807339668273926
Calling,Metro Boomin,2023-06-02,219453,89,91,['rap'],0.464,0.631,0.535,0.0,0.115,-7.836,0.0842,140.127,0.22,0.2190357893705368,0.27233636379241943,0.011959094554185867,0.36176490783691406,0.12769076228141785,0.007213096134364605,0.2546687126159668,0.6783930063247681,0.06693824380636215,0.9964950680732727,0.003504945430904627
As It Was,Harry Styles,2022-03-31,167303,92,88,['pop'],0.342,0.52,0.731,0.00101,0.311,-5.338,0.0557,173.93,0.662,0.6007350087165833,0.18803463876247406,0.006674638018012047,0.16393715143203735,0.03848576173186302,0.002132875844836235,0.14084163308143616,0.6993653774261475,0.159792959690094,0.9962521195411682,0.0037479123566299677
Karma,Taylor Swift,2022-10-21,204852,89,100,['pop'],0.0734,0.642,0.62,0.0,0.483,-7.091,0.0666,90.02,0.0969,0.04980342462658882,0.09148014336824417,0.0289058405905962,0.8102761507034302,0.01770712621510029,0.0018273588502779603,0.04841478168964386,0.6005931496620178,0.3509920537471771,0.7918561697006226,0.20814383029937744
WHERE SHE GOES,Bad Bunny,2023-05-18,231704,98,96,"['reggaeton', 'trap latino', 'urbano latino']",0.143,0.652,0.8,0.629,0.112,-4.019,0.0614,143.978,0.234,0.043906938284635544,0.5675939917564392,0.014950446784496307,0.30039435625076294,0.0677516832947731,0.005402668379247189,0.07108527421951294,0.8798370361328125,0.04907767474651337,0.9948996901512146,0.005100333131849766
People,Libianca,2022-12-06,184791,93,75,['afrobeats'],0.551,0.573,0.422,1.31e-05,0.102,-7.621,0.0678,124.357,0.693,0.055467959493398666,0.6159653067588806,0.006575715262442827,0.24072840809822083,0.07756814360618591,0.0036944770254194736,0.1725160777568817,0.7348077297210693,0.09267612546682358,0.9982061386108398,0.001793831237591803
Cupid - Twin Ver.,FIFTY FIFTY,2023-02-24,174253,98,80,['k-pop girl group'],0.435,0.783,0.592,4.15e-06,0.347,-8.332,0.0331,120.018,0.726,0.8913544416427612,0.002856794511899352,0.0011973208747804165,0.036033790558576584,0.06506740301847458,0.0034900978207588196,0.24541985988616943,0.6041553616523743,0.1504247635602951,0.9992535710334778,0.0007464499794878066
Die For You - Remix,The Weeknd,2023-02-24,232857,92,95,"['canadian contemporary r&b', 'canadian pop', 'pop']",0.232,0.531,0.525,0.0,0.441,-6.5,0.0671,66.9,0.502,0.12295375764369965,0.3652004897594452,0.017593124881386757,0.3738541603088379,0.11169128119945526,0.008707104250788689,0.13762855529785156,0.8328084349632263,0.02956293895840645,0.9979496598243713,0.002050314098596573
Boy's a Liar Pt. 2,PinkPantheress,2023-02-03,131013,95,79,['bedroom pop'],0.252,0.696,0.809,0.000128,0.248,-8.254,0.05,132.962,0.857,0.0020133780781179667,0.9943934679031372,0.0008266086224466562,0.0017425770638510585,0.0005677157896570861,0.00045632250839844346,0.18883727490901947,0.6411176323890686,0.17004509270191193,0.04462743178009987,0.9553725719451904
Take Two,BTS,2023-06-09,229953,90,90,"['k-pop', 'k-pop boy group', 'pop']",0.0268,0.617,0.589,0.0,0.378,-5.978,0.0345,92.991,0.566,0.007303524296730757,0.967301070690155,0.018920443952083588,0.0018841426353901625,0.003091281745582819,0.0014996753307059407,0.533999502658844,0.4157741069793701,0.05022637918591499,0.8864667415618896,0.11353333294391632
Daylight,David Kushner,2023-04-14,212953,98,79,['gen z singer-songwriter'],0.83,0.508,0.43,0.000441,0.093,-9.475,0.0335,130.09,0.324,0.13104119896888733,0.13113871216773987,0.27845755219459534,0.3767569065093994,0.07757557183504105,0.005030028522014618,0.7214232683181763,0.2591225802898407,0.01945415325462818,0.9614389538764954,0.03856097534298897
Chemical,Post Malone,2023-04-14,184013,90,88,"['dfw rap', 'melodic rap', 'pop', 'rap']",0.00136,0.498,0.897,0.0,0.118,-4.907,0.045,169.902,0.373,0.9516852498054504,0.009943517856299877,0.0016275017987936735,0.033496398478746414,0.0026865664403885603,0.0005606343620456755,0.3885658383369446,0.5608624815940857,0.05057171732187271,0.988166868686676,0.011833097785711288
Baby Don't Hurt Me,David Guetta,2023-04-06,140017,92,88,"['big room', 'dance pop', 'edm', 'pop', 'pop dance']",0.00126,0.602,0.91,0.000174,0.12,-3.404,0.0308,127.944,0.228,0.9983806610107422,0.00018994364654645324,0.00028878464945591986,0.0003039203875232488,0.0006525618373416364,0.00018417678074911237,0.38515356183052063,0.48938363790512085,0.1254628300666809,0.9949488639831543,0.005051116459071636
Eyes Closed,Ed Sheeran,2023-03-24,194848,89,90,"['pop', 'uk pop']",0.302,0.777,0.526,0.0,0.105,-6.221,0.0645,107.071,0.389,0.12119743973016739,0.5782166123390198,0.009947695769369602,0.22891484200954437,0.05517260730266571,0.006550842896103859,0.3284863233566284,0.6003336906433105,0.07118000835180283,0.9907689690589905,0.00923098437488079
Creepin',Metro Boomin,2022-12-02,221520,96,91,['rap'],0.417,0.715,0.62,0.0,0.0822,-6.005,0.0484,97.95,0.172,0.9985553622245789,0.0002450459578540176,0.0001406891824444756,0.0003665778203867376,0.0005738988402299583,0.00011832606105599552,0.4455227255821228,0.4920552968978882,0.06242191791534424,0.9956674575805664,0.004332493059337139
Area Codes,Kali,2023-03-17,139325,89,70,[],0.0187,0.823,0.388,0.0,0.0876,-10.867,0.491,154.569,0.507,0.011828373186290264,0.9286335706710815,0.03526792675256729,0.018362902104854584,0.004244757350534201,0.0016625712160021067,0.014080776832997799,0.4543258249759674,0.531593382358551,0.9928198456764221,0.007180154789239168
Never Felt So Alone,Labrinth,2023-04-07,160166,88,80,"['indie poptimism', 'pop']",0.499,0.436,0.409,0.000166,0.38,-4.438,0.0533,98.357,0.363,0.9989044666290283,0.00024675377062521875,0.0001547534775454551,0.000215491876588203,0.00033650416298769414,0.00014191688387654722,0.4311908483505249,0.4949588477611542,0.07385037839412689,0.9017737507820129,0.09822625666856766
Players,Coi Leray,2022-11-30,139560,91,80,"['new jersey underground rap', 'trap queen']",0.03,0.954,0.516,7.54e-06,0.0504,-5.817,0.16,105.001,0.624,0.0015097266295924783,0.9946723580360413,0.0022157328203320503,0.0007215806399472058,0.00035426305839791894,0.0005264616920612752,0.10230426490306854,0.7993485331535339,0.09834721684455872,0.9958968162536621,0.004103180021047592
Ella Baila Sola,Eslabon Armado,2023-03-16,165671,99,86,"['corrido', 'corridos tumbados', 'nueva musica mexicana', 'sad sierreno', 'sierreno']",0.483,0.668,0.758,1.89e-05,0.0837,-5.176,0.0332,147.989,0.834,0.057377610355615616,0.5367304086685181,0.023827165365219116,0.28517571091651917,0.09171749651432037,0.005171643570065498,0.050633277744054794,0.8511412143707275,0.09822547435760498,0.9846901893615723,0.015309861861169338
Escapism.,RAYE,2023-02-03,272373,91,77,"['uk contemporary r&b', 'uk pop']",0.138,0.538,0.742,4.67e-05,0.0934,-5.355,0.114,96.107,0.25,0.9437779784202576,0.018869979307055473,0.016625553369522095,0.009558129124343395,0.009865940548479557,0.0013023531064391136,0.20061129331588745,0.7186310887336731,0.08075764775276184,0.9949373006820679,0.005062718875706196
golden hour,JVKE,2022-09-23,209259,90,82,"['modern indie pop', 'pov: indie']",0.653,0.515,0.593,0.162,0.25,-4.801,0.0322,94.467,0.153,0.0003464902692940086,0.9980615973472595,0.00032021806691773236,0.000266281480435282,0.00031960420892573893,0.0006858725682832301,0.22562238574028015,0.6116510629653931,0.16272659599781036,0.2853753864765167,0.7146245837211609
Until I Found You,Stephen Sanchez,2022-04-22,176440,93,78,['gen z singer-songwriter'],0.777,0.551,0.55,0.0,0.202,-5.339,0.0286,101.19,0.342,0.9732219576835632,0.0059941913932561874,0.0013592514442279935,0.002887073438614607,0.015374557115137577,0.001162898843176663,0.12316016107797623,0.7677352428436279,0.10910461097955704,0.21750332415103912,0.7824966907501221
Snooze,SZA,2022-12-09,201800,92,89,"['pop', 'r&b', 'rap']",0.141,0.559,0.551,0.0,0.11,-7.231,0.132,143.008,0.392,0.006052428390830755,0.9800793528556824,0.001271087909117341,0.009442847222089767,0.002263190457597375,0.0008911990444175899,0.31388190388679504,0.5976150035858154,0.08850318938493729,0.9898570775985718,0.010142938233911991
Anti-Hero,Taylor Swift,2022-10-21,200690,95,100,['pop'],0.13,0.637,0.643,1.8e-06,0.142,-6.571,0.0519,97.008,0.533,0.08922097831964493,0.04348267987370491,0.008502119220793247,0.8418881297111511,0.015946144238114357,0.000959965109359473,0.319111168384552,0.5943532586097717,0.08653558790683746,0.994317352771759,0.005682597402483225
Say Yes To Heaven,Lana Del Rey,2023-05-19,209156,92,91,"['art pop', 'pop']",0.709,0.49,0.352,0.0856,0.114,-11.577,0.0254,99.992,0.166,0.01091676950454712,0.8464789390563965,0.006929154973477125,0.1208430752158165,0.01335881743580103,0.0014732277486473322,0.017746031284332275,0.46787992119789124,0.5143740773200989,0.011353377252817154,0.9886465668678284
"Peso Pluma: Bzrp Music Sessions, Vol. 55",Bizarrap,2023-06-01,188361,95,85,"['argentine hip hop', 'pop venezolano', 'trap argentino', 'trap latino', 'urbano latino']",0.264,0.854,0.668,5.61e-05,0.117,-7.848,0.0466,132.966,0.805,0.0529869943857193,0.48444023728370667,0.01764168031513691,0.37979960441589355,0.05997597053647041,0.005155607126653194,0.11389118432998657,0.8430016040802002,0.043107129633426666,0.9954971075057983,0.004502933006733656
CUFF IT,Beyoncé,2022-07-29,225388,90,87,"['pop', 'r&b']",0.0368,0.78,0.689,9.69e-06,0.0698,-5.668,0.141,115.042,0.642,0.026850158348679543,0.9119264483451843,0.010156648233532906,0.022320853546261787,0.02553761750459671,0.0032081338576972485,0.13494277000427246,0.6325288414955139,0.23252838850021362,0.9653514623641968,0.03464848920702934
